date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:42	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22672c11f8-239b%22	https://themewagon.github.io/robots.txt		(from )
16:28:42	52890/52890	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-ce9a%22	https://themewagon.github.io/builerz/	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/index.html	(from )
16:28:42	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/builerz/img/favicon.ico	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/img/favicon.ico	(from https://themewagon.github.io/builerz/)
16:28:44	1840/1840	---MC-	200	added ('OK')	text/css	date:Fri,%2008%20Nov%202024%2010:58:43%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@100;200;300;400;500;600;700;800;900&display=swap	/Users/shreyashkantilalpawar/websites/Construction/fonts.googleapis.com/css283ac.css	(from https://themewagon.github.io/builerz/)
16:28:45	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%227cc40c199d128af6b01e74a28c5900b0%22	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	/Users/shreyashkantilalpawar/websites/Construction/stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://themewagon.github.io/builerz/)
16:28:46	1296/1296	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-510%22	https://themewagon.github.io/builerz/lib/flaticon/font/flaticon.css	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/lib/flaticon/font/flaticon.css	(from https://themewagon.github.io/builerz/)
16:28:46	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	/Users/shreyashkantilalpawar/websites/Construction/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/builerz/)
16:28:47	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-4239%22	https://themewagon.github.io/builerz/lib/animate/animate.min.css	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/lib/animate/animate.min.css	(from https://themewagon.github.io/builerz/)
16:28:48	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-b78%22	https://themewagon.github.io/builerz/lib/owlcarousel/assets/owl.carousel.min.css	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/builerz/)
16:28:49	2608/2608	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-a30%22	https://themewagon.github.io/builerz/lib/lightbox/css/lightbox.min.css	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/lib/lightbox/css/lightbox.min.css	(from https://themewagon.github.io/builerz/)
16:28:50	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-6f0%22	https://themewagon.github.io/builerz/lib/slick/slick.css	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/lib/slick/slick.css	(from https://themewagon.github.io/builerz/)
16:28:51	3133/3133	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-c3d%22	https://themewagon.github.io/builerz/lib/slick/slick-theme.css	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/lib/slick/slick-theme.css	(from https://themewagon.github.io/builerz/)
16:28:52	39249/39249	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-9951%22	https://themewagon.github.io/builerz/css/style.css	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/css/style.css	(from https://themewagon.github.io/builerz/)
16:28:54	52890/52890	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-ce9a%22	https://themewagon.github.io/builerz/index.html	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/index-2.html	(from https://themewagon.github.io/builerz/)
16:28:54	25810/25810	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-64d2%22	https://themewagon.github.io/builerz/about.html	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/about.html	(from https://themewagon.github.io/builerz/)
16:28:55	28379/28379	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-6edb%22	https://themewagon.github.io/builerz/service.html	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/service.html	(from https://themewagon.github.io/builerz/)
16:28:57	20884/20884	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-5194%22	https://themewagon.github.io/builerz/team.html	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/team.html	(from https://themewagon.github.io/builerz/)
16:28:57	19435/19435	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-4beb%22	https://themewagon.github.io/builerz/portfolio.php	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/portfolio.php	(from https://themewagon.github.io/builerz/)
16:28:58	19936/19936	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-4de0%22	https://themewagon.github.io/builerz/promises.html	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/promises.html	(from https://themewagon.github.io/builerz/)
16:29:00	50801/50801	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-c671%22	https://themewagon.github.io/builerz/achivement.html	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/achivement.html	(from https://themewagon.github.io/builerz/)
16:29:00	15752/15752	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-3d88%22	https://themewagon.github.io/builerz/contact.html	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/contact.html	(from https://themewagon.github.io/builerz/)
16:29:02	205641/205641	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-32349%22	https://themewagon.github.io/builerz/img/carousel-1.jpg	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/img/carousel-1.jpg	(from https://themewagon.github.io/builerz/)
16:29:03	100515/100515	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-188a3%22	https://themewagon.github.io/builerz/img/carousel-2.jpg	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/img/carousel-2.jpg	(from https://themewagon.github.io/builerz/)
16:29:03	127067/127067	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-1f05b%22	https://themewagon.github.io/builerz/img/carousel-3.jpg	/Users/shreyashkantilalpawar/websites/Construction/themewagon.github.io/builerz/img/carousel-3.jpg	(from https://themewagon.github.io/builerz/)
